block,n_tx,gas_used,mode,cores,repeat,elapsed_ms,tps,occ_aborts,abort_rate,wait_admissions,speculate_executions,region_promotions,cascade_validations_scheduled,independent_txs_skipped_by_fence,bayes_wait_decisions,bayes_speculate_decisions,bayes_conflict_updates,bayes_success_updates,wave_promotions,mean_wait_posterior,bind_hits,wait_hard_count,spec_read_count,selective_invalidate_count,tx_full_retry,region_validate_fail,soft_edge_revokes,selective_fallback_full,partial_retry_count,partial_retry_fallback_full,ok,error
14683600,660,30021734,specfence,2,0,24.225843,27243.63399861875,16,0.024242424242424242,128,463,125,1020,4419,548,5834,152,5617,125,0.30823373706585633,42,688,3684,100,0,38,10,0,16,0,true,
14683600,660,30021734,specfence,2,1,20.510018000000002,32179.396429588698,6,0.00909090909090909,121,452,112,0,1793,546,5613,116,5587,112,0.3082357203236349,16,504,3686,41,0,14,10,0,6,0,true,
14683600,660,30021734,specfence,2,2,21.670921999999997,30455.5569901456,9,0.013636363636363636,122,456,125,0,2796,543,5713,160,5691,125,0.30769230769231004,20,554,3723,74,0,46,11,0,9,0,true,
14683600,660,30021734,specfence,4,0,17.76071,37160.67657205146,37,0.05606060606060606,154,479,129,5176,8317,580,6409,188,11073,129,0.3124546220833746,47,1009,3854,162,0,76,14,0,37,0,true,
14683600,660,30021734,specfence,4,1,18.18935,36284.968951611794,39,0.05909090909090909,182,477,129,4731,8664,593,6630,191,10841,129,0.3123410338662876,51,1087,3973,161,0,79,14,0,39,0,true,
14683600,660,30021734,specfence,4,2,18.319973,36026.25396882408,37,0.05606060606060606,179,473,130,5016,7963,604,6617,158,10909,130,0.31394499540195236,100,1108,3948,179,0,46,16,0,37,0,true,
14683600,660,30021734,specfence,8,0,16.410593000000002,40217.92509265204,56,0.08484848484848485,232,483,130,9535,8754,653,7122,212,18677,130,0.31699600132487304,64,1433,4061,236,0,100,15,0,56,0,true,
14683600,660,30021734,specfence,8,1,15.452186999999999,42712.40051650941,53,0.0803030303030303,232,480,131,9631,9740,663,6981,173,19168,131,0.3166471708189758,81,1310,4039,198,0,61,17,0,53,0,true,
14683600,660,30021734,specfence,8,2,15.471854,42658.10677892902,55,0.08333333333333333,245,483,129,9269,9802,664,7103,210,19125,129,0.3180658019057713,54,1411,4070,219,0,98,14,0,55,0,true,
13217637,1100,29985362,sequential,1,0,7.958265000000001,138221.0821077207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,
13217637,1100,29985362,sequential,1,1,7.410493,148438.16733920402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,
13217637,1100,29985362,sequential,1,2,6.899728,159426.57449684973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,
13217637,1100,29985362,occ,1,0,10.941637,100533.40281714701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,
13217637,1100,29985362,occ,1,1,10.679866,102997.54697296764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,
13217637,1100,29985362,occ,1,2,10.633052000000001,103451.01293589085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,
13217637,1100,29985362,occ,2,0,7.125421,154376.8431367073,2,0.0018181818181818182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,
13217637,1100,29985362,occ,2,1,6.3516010000000005,173184.68209826152,2,0.0018181818181818182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,
13217637,1100,29985362,occ,2,2,6.536147,168294.8685211639,2,0.0018181818181818182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,
13217637,1100,29985362,occ,4,0,5.343022,205876.00051057248,5,0.004545454545454545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,
13217637,1100,29985362,occ,4,1,4.656795,236213.9626073297,5,0.004545454545454545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,
13217637,1100,29985362,occ,4,2,4.752189,231472.27519780883,4,0.0036363636363636364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,
13217637,1100,29985362,occ,8,0,5.233901,210168.28556749545,5,0.004545454545454545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,
13217637,1100,29985362,occ,8,1,3.9051899999999997,281676.4357175963,10,0.00909090909090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,
13217637,1100,29985362,occ,8,2,3.801888,289329.93291753996,11,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,
13217637,1100,29985362,pcc,1,0,10.817815999999999,101684.11072992923,0,0,0,86,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,
13217637,1100,29985362,pcc,1,1,14.362946999999998,76585.9541220893,0,0,0,86,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,
13217637,1100,29985362,pcc,1,2,11.38528,96615.98133730573,0,0,0,86,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,
13217637,1100,29985362,pcc,2,0,9.64779,114015.74868441373,1,0.0009090909090909091,891,87,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,
13217637,1100,29985362,pcc,2,1,9.433304999999999,116608.12408800522,1,0.0009090909090909091,851,87,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,
13217637,1100,29985362,pcc,2,2,9.833266,111865.17277169152,1,0.0009090909090909091,872,87,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,
13217637,1100,29985362,pcc,4,0,9.395241,117080.55173890696,3,0.0027272727272727275,943,89,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,
13217637,1100,29985362,pcc,4,1,8.659563,127027.19525223154,4,0.0036363636363636364,952,89,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,
13217637,1100,29985362,pcc,4,2,8.704561,126370.53149492548,4,0.0036363636363636364,956,89,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,
13217637,1100,29985362,pcc,8,0,9.033071,121774.75412293339,4,0.0036363636363636364,967,89,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,
13217637,1100,29985362,pcc,8,1,9.787696,112385.9997286389,5,0.004545454545454545,978,89,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,
13217637,1100,29985362,pcc,8,2,9.338687,117789.57791389732,5,0.004545454545454545,973,89,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true,
13217637,1100,29985362,specfence,1,0,27.040557,40679.63540839784,0,0,0,139,36,0,0,1922,4789,36,2680,36,0.3076923076923101,0,977,2318,0,0,0,0,0,0,0,true,
13217637,1100,29985362,specfence,1,1,26.202831999999997,41980.195117840696,0,0,0,139,36,0,0,1922,4789,36,2680,36,0.3076923076923101,0,977,2318,0,0,0,0,0,0,0,true,
13217637,1100,29985362,specfence,1,2,20.135483999999998,54629.925955591636,0,0,0,139,36,0,0,1922,4789,36,2680,36,0.3076923076923101,0,977,2318,0,0,0,0,0,0,0,true,
13217637,1100,29985362,specfence,2,0,23.90254,46020.21375134191,1,0.0009090909090909091,893,136,40,0,1098,2825,5738,37,17695,40,0.30769230769229533,0,994,2361,1,0,4,7,0,1,0,true,
13217637,1100,29985362,specfence,2,1,18.041700000000002,60969.8642589113,2,0.0018181818181818182,880,139,40,0,1132,2805,5698,38,15657,40,0.30769230769229555,0,994,2325,4,0,5,7,0,2,0,true,
13217637,1100,29985362,specfence,2,2,21.331141000000002,51567.79939713492,1,0.0009090909090909091,889,136,40,0,1098,2821,5697,37,18931,40,0.3076923076922954,0,994,2324,1,0,4,7,0,1,0,true,
13217637,1100,29985362,specfence,4,0,18.796889,58520.32216607759,5,0.004545454545454545,934,141,44,0,4356,2865,5870,44,15893,44,0.35572751855475254,2,1019,2415,15,0,11,11,0,5,0,true,
13217637,1100,29985362,specfence,4,1,18.321277000000002,60039.48305568438,4,0.0036363636363636364,944,140,44,0,3289,2867,5844,43,15305,44,0.3076923076922949,2,1015,2380,13,0,10,11,0,4,0,true,
