block,n_tx,gas_used,mode,cores,repeat,elapsed_ms,tps,occ_aborts,abort_rate,wait_admissions,speculate_executions,region_promotions,cascade_validations_scheduled,independent_txs_skipped_by_fence,bayes_wait_decisions,bayes_speculate_decisions,bayes_conflict_updates,bayes_success_updates,wave_promotions,mean_wait_posterior,bind_hits,wait_hard_count,spec_read_count,selective_invalidate_count,tx_full_retry,region_validate_fail,soft_edge_revokes,selective_fallback_full,ok,error
14383540,722,30059751,occ,4,0,6.158348,117239.23363863166,23,0.03185595567867036,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,True,
14383540,722,30059751,occ,4,1,5.225264999999999,138174.81027278042,16,0.0221606648199446,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,True,
14383540,722,30059751,occ,4,2,5.926698999999999,121821.60760990225,18,0.024930747922437674,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,True,
14383540,722,30059751,occ,8,0,5.019471,143839.85882177623,38,0.05263157894736842,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,True,
14383540,722,30059751,occ,8,1,5.37139,134415.8588372842,45,0.062326869806094184,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,True,
14383540,722,30059751,occ,8,2,5.070938,142379.96993850055,31,0.04293628808864266,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,True,
14383540,722,30059751,pcc,1,0,14.262357999999999,50622.76518370946,0,0.0,0,124,29,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,True,
14383540,722,30059751,pcc,1,1,14.222546000000001,50764.46931512825,0,0.0,0,124,29,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,True,
14383540,722,30059751,pcc,1,2,15.875891999999999,45477.75961186937,0,0.0,0,124,29,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,True,
14383540,722,30059751,pcc,2,0,9.049284,79785.31782182989,5,0.006925207756232687,249,128,29,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,True,
